pays ,arr_CH,nu_CH,ds_CH,arr_AG,nu_AG,ds_AG,arr_AR,nu_AR,ds_AR,arr_AI,nu_AI,ds_AI,arr_BL,nu_BL,ds_BL,arr_BS,nu_BS,ds_BS,arr_BE,nu_BE,ds_BE,arr_FR,nu_R,ds_FR,arr_GE,nu_GE,ds_GE,arr_GL,nu_GL,ds_GL,arr_GR,nu_GR,ds_GR,arr_JU,nu_JU,ds_JU,arr_LU,nu_LU,ds_LU,arr_NE,nu_NE,ds_NE,arr_NW,nu_NW,ds_NW,arr_OW,nu_OW,ds_OW,arr_SH,nu_SH,ds_SH,arr_SZ,nu_SZ,ds_SZ,arr_SO,nu_SO,ds_SO,arr_SG,nu_SG,ds_SG,arr_TG,nu_TG,ds_TG,arr_TI,nu_TI,ds_TI,arr_UR,nu_UR,ds_UR,arr_VS,nu_VS,ds_VS,arr_VD,nu_VD,ds_VD,arr_ZG,nu_ZG,ds_ZG,arr_ZH,nu_ZH,ds_ZH
Allemagne,2038680,5207892,2.6    ,63067,146739,2.3    ,10654,22181,2.1    ,10535,16050,1.5    ,23068,46742,2.0    ,115401,195333,1.7    ,224467,615350,2.7    ,21942,40659,1.9    ,61905,121619,2.0    ,5826,14255,2.4    ,346368,1294952,3.7    ,1865,3734,2.0    ,90829,196658,2.2    ,9299,17596,1.9    ,18017,33422,1.9    ,31415,86738,2.8    ,13984,23322,1.7    ,37662,94509,2.5    ,36690,75413,2.1    ,85235,214001,2.5    ,47480,91168,1.9    ,117868,349340,3.0    ,26678,55129,2.1    ,149631,531197,3.6    ,77200,170080,2.2    ,24329,45048,1.9    ,387265,706657,1.8    
Autriche,190153,400266,2.1    ,5828,13506,2.3    ,753,1429,1.9    ,256,418,1.6    ,1942,3894,2.0    ,7092,14210,2.0    ,18809,40986,2.2    ,2299,5419,2.4    ,9472,18271,1.9    ,676,1661,2.5    ,23698,62617,2.6    ,112,203,1.8    ,8933,18458,2.1    ,696,1443,2.1    ,1127,2149,1.9    ,1883,4079,2.2    ,1471,2470,1.7    ,4760,8887,1.9    ,3098,8561,2.8    ,8815,20136,2.3    ,4009,8008,2.0    ,7943,19075,2.4    ,1512,3026,2.0    ,11583,27826,2.4    ,7265,16741,2.3    ,2434,4599,1.9    ,53687,92194,1.7    
Belgique,215240,678517,3.2    ,2187,4027,1.8    ,160,371,2.3    ,72,358,5.0    ,1812,2714,1.5    ,9266,14917,1.6    ,21789,100380,4.6    ,2712,5358,2.0    ,24626,45354,1.8    ,175,714,4.1    ,16044,98109,6.1    ,306,706,2.3    ,10011,14687,1.5    ,1684,3155,1.9    ,5046,5928,1.2    ,2405,7415,3.1    ,660,1314,2.0    ,2102,6294,3.0    ,2816,3445,1.2    ,3018,7024,2.3    ,918,1501,1.6    ,17106,29027,1.7    ,4518,6939,1.5    ,35096,168612,4.8    ,28787,113185,3.9    ,1675,3027,1.8    ,20249,33956,1.7    
Bulgarie,14449,38356,2.7    ,253,602,2.4    ,9,32,3.6    ,0,0,0,126,202,1.6    ,700,1826,2.6    ,1170,3486,3.0    ,134,448,3.3    ,2441,6217,2.5    ,11,31,2.8    ,422,1813,4.3    ,8,16,2.0    ,601,1359,2.3    ,76,119,1.6    ,53,96,1.8    ,33,561,17.0    ,52,124,2.4    ,101,203,2.0    ,161,1140,7.1    ,288,586,2.0    ,110,266,2.4    ,688,2239,3.3    ,29,311,10.7    ,580,2196,3.8    ,1957,3845,2.0    ,344,777,2.3    ,4102,9861,2.4    
Chypre,3342,9234,2.8    ,5,8,1.6    ,4,42,10.5    ,0,0,0,9,22,2.4    ,123,330,2.7    ,210,674,3.2    ,22,35,1.6    ,709,1949,2.7    ,0,0,0,89,493,5.5    ,0,0,0,230,576,2.5    ,11,30,2.7    ,2,2,1.0    ,12,16,1.3    ,3,8,2.7    ,11,30,2.7    ,13,42,3.2    ,45,137,3.0    ,5,17,3.4    ,101,184,1.8    ,9,16,1.8    ,104,541,5.2    ,314,830,2.6    ,29,78,2.7    ,1282,3174,2.5    
Croatie,9717,26760,2.8    ,631,3178,5.0    ,15,41,2.7    ,0,0,0,71,128,1.8    ,307,719,2.3    ,679,2550,3.8    ,68,164,2.4    ,1160,3186,2.7    ,24,41,1.7    ,492,1987,4.0    ,19,44,2.3    ,481,1456,3.0    ,71,127,1.8    ,23,25,1.1    ,17,24,1.4    ,102,220,2.2    ,116,277,2.4    ,60,166,2.8    ,341,805,2.4    ,146,426,2.9    ,950,1671,1.8    ,43,657,15.3    ,291,972,3.3    ,786,2203,2.8    ,188,391,2.1    ,2636,5302,2.0    
Danemark,57611,133762,2.3    ,1596,4010,2.5    ,80,220,2.8    ,41,77,1.88,523,1021,2.0    ,3391,6376,1.9    ,5069,13006,2.6    ,1005,2229,2.2    ,6102,12621,2.1    ,45,67,1.5    ,6653,22930,3.4    ,29,67,2.3    ,2304,4911,2.1    ,516,1274,2.5    ,435,908,2.1    ,694,1861,2.7    ,376,604,1.6    ,1046,2492,2.4    ,1253,2380,1.9    ,1469,3244,2.2    ,456,808,1.8    ,3069,6525,2.1    ,330,862,2.6    ,3570,11736,3.3    ,4102,10293,2.5    ,874,1708,2.0    ,12583,21532,1.7    
Espagne,229103,451463,2.0    ,2151,5513,2.6    ,145,408,2.8    ,86,145,1.7    ,971,2720,2.8    ,10987,23998,2.2    ,20697,46980,2.3    ,4093,6809,1.7    ,54901,100748,1.8    ,67,141,2.1    ,4647,12980,2.8    ,152,330,2.2    ,10115,18098,1.8    ,1623,3616,2.2    ,226,545,2.4    ,807,1767,2.2    ,709,1237,1.7    ,728,1790,2.5    ,1802,4579,2.5    ,2046,5386,2.6    ,844,1883,2.2    ,6218,14022,2.3    ,401,766,1.9    ,13081,31433,2.4    ,18239,42210,2.3    ,1564,3806,2.4    ,71803,119553,1.7    
Estonie,7185,16349,2.3    ,119,248,2.1    ,3,9,3.0    ,0,0,0,10,27,2.7    ,92,218,2.4    ,635,1943,3.1    ,29,50,1.7    ,2718,4735,1.7    ,6,13,2.2    ,505,2198,4.4    ,0,0,0,394,856,2.2    ,25,46,1.8    ,5,5,1.0    ,109,180,1.7    ,15,21,1.4    ,44,106,2.4    ,31,62,2.0    ,104,198,1.9    ,42,132,3.1    ,532,1202,2.3    ,80,256,3.2    ,257,960,3.7    ,397,879,2.2    ,116,180,1.6    ,917,1825,2.0    
Finlande,38342,95284,2.5    ,833,1649,2.0    ,72,320,4.4    ,0,0,0,157,303,1.9    ,1161,2399,2.1    ,3150,7895,2.5    ,278,553,2.0    ,5789,12976,2.2    ,39,59,1.5    ,3230,12523,3.9    ,23,35,1.5    ,1502,2787,1.9    ,271,673,2.5    ,53,91,1.7    ,722,2230,3.1    ,328,608,1.9    ,351,584,1.7    ,380,676,1.8    ,814,2030,2.5    ,360,877,2.4    ,1356,2804,2.1    ,260,885,3.4    ,2708,11139,4.1    ,3124,9583,3.1    ,659,1393,2.1    ,10722,20212,1.9    
France,680932,1394166,2.0    ,9832,17732,1.8    ,491,1099,2.2    ,471,937,2.0    ,3484,7870,2.3    ,29429,47407,1.6    ,52350,131290,2.5    ,20356,33413,1.6    ,145396,241876,1.7    ,383,759,2.0    ,20698,64132,3.1    ,2549,4258,1.7    ,16504,32081,1.9    ,18532,32047,1.7    ,1875,3171,1.7    ,2445,5493,2.2    ,2239,3837,1.7    ,3205,6139,1.9    ,4413,7170,1.6    ,6167,12841,2.1    ,3363,5834,1.7    ,21230,43254,2.0    ,2415,5171,2.1    ,86595,223501,2.6    ,145257,329691,2.3    ,3687,7258,2.0    ,77566,125905,1.6    
Grèce,41097,101562,2.5    ,328,891,2.7    ,33,139,4.2    ,0,0,0,88,191,2.2    ,2229,4937,2.2    ,2041,5991,2.9    ,167,348,2.1    ,11343,24137,2.1    ,15,56,3.7    ,1560,6816,4.4    ,41,187,4.6    ,1925,4756,2.5    ,165,374,2.3    ,82,116,1.4    ,43,104,2.4    ,88,149,1.7    ,131,328,2.5    ,122,313,2.6    ,312,882,2.8    ,101,200,2.0    ,1907,3673,1.9    ,89,125,1.4    ,1203,5152,4.3    ,4618,13657,3.0    ,313,736,2.4    ,12153,27304,2.2    
Hongrie,33746,84364,2.5    ,737,3126,4.2    ,41,437,10.7    ,83,145,1.75,227,499,2.2    ,1563,5264,3.4    ,2238,4710,2.1    ,314,606,1.9    ,4618,11430,2.5    ,26,100,3.8    ,759,2717,3.6    ,20,26,1.3    ,1826,3727,2.0    ,146,319,2.2    ,217,416,1.9    ,499,830,1.7    ,218,455,2.1    ,518,1009,1.9    ,733,1945,2.7    ,671,1818,2.7    ,392,1006,2.6    ,1420,3484,2.5    ,2949,7429,2.5    ,1230,3593,2.9    ,3388,9099,2.7    ,452,1348,3.0    ,8461,18826,2.2    
Irlande (Eire),28805,65265,2.3    ,278,587,2.1    ,32,100,3.1    ,0,0,0,144,310,2.2    ,1932,4507,2.3    ,1903,6129,3.2    ,223,481,2.2    ,5922,11847,2.0    ,1,1,1.0    ,930,3293,3.5    ,53,202,3.8    ,1203,3616,3.0    ,413,990,2.4    ,66,96,1.5    ,54,131,2.4    ,177,331,1.9    ,183,345,1.9    ,111,247,2.2    ,507,979,1.9    ,147,355,2.4    ,859,1821,2.1    ,51,99,1.9    ,1328,4323,3.3    ,2389,6089,2.5    ,347,763,2.2    ,9552,17623,1.8    
Islande,5020,11494,2.3    ,56,124,2.2    ,6,14,2.3    ,0,0,0,17,31,1.8    ,225,576,2.6    ,324,1057,3.3    ,20,49,2.5    ,633,1574,2.5    ,9,18,2.0    ,223,599,2.7    ,0,0,0,276,829,3.0    ,45,79,1.8    ,37,49,1.3    ,11,38,3.5    ,18,31,1.7    ,71,102,1.4    ,111,199,1.8    ,191,553,2.9    ,19,50,2.6    ,369,834,2.3    ,6,6,1.0    ,172,453,2.6    ,788,1588,2.0    ,172,415,2.4    ,1221,2226,1.8    
Italie,489182,1007519,2.1    ,8355,18934,2.3    ,596,1114,1.9    ,388,751,1.9    ,3465,7233,2.1    ,20379,42214,2.1    ,31106,64866,2.1    ,5465,9081,1.7    ,43806,85419,1.9    ,503,1463,2.9    ,64882,203506,3.1    ,560,1004,1.8    ,23142,39700,1.7    ,4900,8588,1.8    ,2523,3644,1.4    ,2294,3311,1.4    ,2448,4286,1.8    ,4866,8193,1.7    ,4698,9973,2.1    ,8291,16572,2.0    ,4645,8342,1.8    ,105677,187778,1.8    ,3035,4818,1.6    ,28492,65077,2.3    ,40892,79397,1.9    ,3889,7177,1.8    ,69885,125078,1.8    
Lettonie,5726,15057,2.6    ,90,267,3.0    ,7,23,3.3    ,0,0,0,11,21,1.9    ,174,439,2.5    ,437,1081,2.5    ,16,25,1.6    ,1002,2310,2.3    ,0,0,0,381,1868,4.9    ,0,0,0,193,449,2.3    ,18,44,2.4    ,11,34,3.1    ,505,576,1.1    ,15,27,1.8    ,130,194,1.5    ,57,76,1.3    ,61,176,2.9    ,16,23,1.4    ,428,1965,4.6    ,65,356,5.5    ,325,1311,4.0    ,264,750,2.8    ,38,68,1.8    ,1482,2974,2.0    
Liechtenstein,12398,26286,2.1    ,246,531,2.2    ,142,176,1.2    ,226,303,1.34,85,147,1.7    ,364,627,1.7    ,1374,3024,2.2    ,107,164,1.5    ,322,515,1.6    ,47,90,1.9    ,2038,5866,2.9    ,22,28,1.3    ,605,876,1.4    ,65,127,2.0    ,33,59,1.8    ,72,144,2.0    ,56,70,1.3    ,142,268,1.9    ,192,307,1.6    ,1031,2566,2.5    ,157,238,1.5    ,1690,3854,2.3    ,31,47,1.5    ,506,1342,2.7    ,452,846,1.9    ,100,157,1.6    ,2293,3914,1.7    
Lituanie,6072,14275,2.4    ,52,150,2.9    ,14,23,1.6    ,0,0,0,46,99,2.2    ,193,411,2.1    ,933,2024,2.2    ,61,137,2.2    ,1017,2410,2.4    ,4,4,1.0    ,408,1269,3.1    ,0,0,0,395,526,1.3    ,21,55,2.6    ,4,4,1.0    ,99,228,2.3    ,7,7,1.0    ,40,86,2.2    ,41,85,2.1    ,54,100,1.9    ,39,80,2.1    ,326,1065,3.3    ,56,152,2.7    ,323,1030,3.2    ,539,1321,2.5    ,52,98,1.9    ,1348,2911,2.2    
Luxembourg,40563,115021,2.8    ,388,633,1.6    ,23,42,1.8    ,0,0,0,313,475,1.5    ,2131,3487,1.6    ,5787,20467,3.5    ,407,752,1.8    ,3824,6683,1.7    ,81,337,4.2    ,4432,23782,5.4    ,31,51,1.6    ,1937,3691,1.9    ,265,505,1.9    ,538,1073,2.0    ,702,2410,3.4    ,81,134,1.7    ,483,1179,2.4    ,334,436,1.3    ,797,2001,2.5    ,268,493,1.8    ,3628,9754,2.7    ,402,692,1.7    ,3670,17070,4.7    ,2739,6219,2.3    ,191,303,1.6    ,7111,12352,1.7    
Malte,3395,10228,3.0    ,8,11,1.4    ,1,1,1.0    ,0,0,0,39,59,1.5    ,138,375,2.7    ,319,1206,3.8    ,25,34,1.4    ,543,1632,3.0    ,4,5,1.3    ,127,466,3.7    ,2,2,1.0    ,161,345,2.1    ,3,16,5.3    ,6,30,5.0    ,128,709,5.5    ,296,841,2.8    ,19,29,1.5    ,15,31,2.1    ,37,62,1.7    ,8,14,1.8    ,284,673,2.4    ,19,27,1.4    ,255,997,3.9    ,84,194,2.3    ,56,122,2.2    ,818,2347,2.9    
Norvège,43975,104576,2.4    ,625,1324,2.1    ,44,121,2.8    ,0,0,0,216,410,1.9    ,1305,2723,2.1    ,3125,7545,2.4    ,342,498,1.5    ,7032,15426,2.2    ,37,47,1.3    ,4016,11187,2.8    ,18,35,1.9    ,1574,3243,2.1    ,180,330,1.8    ,145,261,1.8    ,1238,4388,3.5    ,288,553,1.9    ,275,633,2.3    ,230,406,1.8    ,859,2047,2.4    ,573,1165,2.0    ,1969,3691,1.9    ,476,998,2.1    ,4878,19757,4.1    ,2969,8242,2.8    ,402,1138,2.8    ,11159,18408,1.6    
Pays-Bas,337592,847438,2.5    ,5565,11283,2.0    ,374,851,2.3    ,303,691,2.3    ,4742,7080,1.5    ,17144,29277,1.7    ,40255,145857,3.6    ,3066,5063,1.7    ,23137,40580,1.8    ,687,3255,4.7    ,31383,139110,4.4    ,197,300,1.5    ,24599,36110,1.5    ,1499,2567,1.7    ,9937,14019,1.4    ,5401,15005,2.8    ,2492,4553,1.8    ,6638,25196,3.8    ,9209,11825,1.3    ,16743,51603,3.1    ,3783,6449,1.7    ,28746,51253,1.8    ,12560,16079,1.3    ,30396,119009,3.9    ,16126,36719,2.3    ,3623,6965,1.9    ,38987,66739,1.7    
Pologne,49148,150097,3.1    ,2193,7224,3.3    ,84,295,3.5    ,0,0,0,475,1381,2.9    ,2480,7038,2.8    ,3343,12208,3.7    ,539,1128,2.1    ,6029,13825,2.3    ,46,157,3.4    ,5260,22635,4.3    ,30,63,2.1    ,1658,7640,4.6    ,314,961,3.1    ,110,447,4.1    ,628,1216,1.9    ,430,1626,3.8    ,1855,3229,1.7    ,679,4766,7.0    ,1054,3687,3.5    ,510,2015,4.0    ,1614,4356,2.7    ,179,402,2.2    ,2675,10467,3.9    ,4167,12169,2.9    ,709,1668,2.4    ,12087,29494,2.4    
Portugal,46284,110019,2.4    ,550,2630,4.8    ,109,687,6.3    ,0,0,0,256,722,2.8    ,2086,4385,2.1    ,2776,6562,2.4    ,1219,3299,2.7    ,13169,27582,2.1    ,31,85,2.7    ,1173,4917,4.2    ,56,158,2.8    ,1854,4355,2.3    ,592,1413,2.4    ,74,213,2.9    ,88,252,2.9    ,100,223,2.2    ,196,384,2.0    ,245,1416,5.8    ,452,1081,2.4    ,227,516,2.3    ,1893,4141,2.2    ,83,345,4.2    ,2035,7121,3.5    ,6389,18638,2.9    ,317,662,2.1    ,10314,18232,1.8    
République tchèque,42803,105436,2.5    ,1011,2337,2.3    ,129,504,3.9    ,0,0,0,441,2077,4.7    ,1586,4237,2.7    ,6892,13835,2.0    ,504,855,1.7    ,4108,8885,2.2    ,33,80,2.4    ,4839,15995,3.3    ,55,90,1.6    ,1296,2686,2.1    ,268,908,3.4    ,159,309,1.9    ,985,2252,2.3    ,235,466,2.0    ,527,1354,2.6    ,556,1670,3.0    ,1603,4638,2.9    ,680,1761,2.6    ,1577,3181,2.0    ,541,1633,3.0    ,3178,9291,2.9    ,2953,7188,2.4    ,529,1168,2.2    ,8118,18036,2.2    
Roumanie,30523,86785,2.8    ,403,1465,3.6    ,29,132,4.6    ,0,0,0,242,534,2.2    ,1169,4255,3.6    ,1968,4879,2.5    ,284,620,2.2    ,5018,12829,2.6    ,13,33,2.5    ,1047,3520,3.4    ,16,23,1.4    ,1816,4702,2.6    ,260,677,2.6    ,27,47,1.7    ,51,166,3.3    ,109,174,1.6    ,163,371,2.3    ,210,493,2.3    ,520,1826,3.5    ,231,802,3.5    ,2381,13525,5.7    ,47,83,1.8    ,951,3738,3.9    ,3714,8503,2.3    ,413,1068,2.6    ,9441,22320,2.4    
Royaume-Uni,682117,1699747,2.5    ,5768,14180,2.5    ,414,1464,3.5    ,286,673,2.4    ,2734,5647,2.1    ,44130,83728,1.9    ,76407,303256,4.0    ,4339,7625,1.8    ,123647,232185,1.9    ,275,819,3.0    ,39908,149020,3.7    ,289,595,2.1    ,31765,66949,2.1    ,3374,6782,2.0    ,4074,11017,2.7    ,11563,25675,2.2    ,3432,6170,1.8    ,4272,9530,2.2    ,2489,4969,2.0    ,6148,15842,2.6    ,1717,3289,1.9    ,16919,38233,2.3    ,2311,5567,2.4    ,73997,269472,3.6    ,60321,145084,2.4    ,8421,19969,2.4    ,153117,272007,1.8    
Serbie,11025,27696,2.5    ,675,1790,2.7    ,25,43,1.7    ,0,0,0,187,228,1.2    ,489,1076,2.2    ,407,1184,2.9    ,99,346,3.5    ,1564,4439,2.8    ,20,84,4.2    ,274,1040,3.8    ,10,10,1.0    ,456,2029,4.4    ,60,101,1.7    ,16,24,1.5    ,2,8,4.0    ,51,109,2.1    ,83,550,6.6    ,106,465,4.4    ,364,1144,3.1    ,79,443,5.6    ,562,1379,2.5    ,17,17,1.0    ,305,958,3.1    ,946,2544,2.7    ,285,538,1.9    ,3943,7147,1.8    
Slovénie,11105,25712,2.3    ,210,436,2.1    ,13,27,2.1    ,0,0,0,75,127,1.7    ,568,1138,2.0    ,1187,2529,2.1    ,77,122,1.6    ,1030,2603,2.5    ,10,19,1.9    ,801,2370,3.0    ,6,6,1.0    ,524,1366,2.6    ,86,170,2.0    ,121,174,1.4    ,44,110,2.5    ,54,71,1.3    ,388,717,1.8    ,169,1382,8.2    ,436,1084,2.5    ,208,565,2.7    ,643,1285,2.0    ,164,197,1.2    ,1089,2612,2.4    ,613,1389,2.3    ,263,539,2.0    ,2326,4674,2.0    
Slovaquie,12323,36284,2.9    ,465,1674,3.6    ,28,98,3.5    ,0,0,0,123,349,2.8    ,410,989,2.4    ,1250,3645,2.9    ,158,407,2.6    ,1186,2669,2.3    ,16,18,1.1    ,991,3571,3.6    ,55,129,2.3    ,624,2050,3.3    ,62,88,1.4    ,35,61,1.7    ,93,188,2.0    ,49,111,2.3    ,116,264,2.3    ,259,1123,4.3    ,448,1100,2.5    ,409,2429,5.9    ,561,1224,2.2    ,209,277,1.3    ,580,1596,2.8    ,755,1967,2.6    ,165,395,2.4    ,3276,9862,3.0    
Suède,86203,203516,2.4    ,1910,4084,2.1    ,111,203,1.8    ,56,109,1.9    ,600,1193,2.0    ,3489,7312,2.1    ,6021,15984,2.7    ,1322,1875,1.4    ,11370,24040,2.1    ,46,165,3.6    ,6453,20611,3.2    ,48,89,1.9    ,2510,5242,2.1    ,494,1080,2.2    ,193,309,1.6    ,3686,13938,3.8    ,358,634,1.8    ,522,940,1.8    ,772,1621,2.1    ,1578,3662,2.3    ,679,1329,2.0    ,3676,6967,1.9    ,1485,4269,2.9    ,8092,33249,4.1    ,6257,13733,2.2    ,1100,2239,2.0    ,23375,38639,1.7    
Suisse,7694682,15752367,2.0    ,169637,359014,2.1    ,47297,101773,2.2    ,73668,136694,1.9    ,78523,141470,1.8    ,183993,306478,1.7    ,1177864,2324136,2.0    ,174727,277323,1.6    ,323826,593220,1.8    ,49696,105645,2.1    ,1084051,2863056,2.6    ,56722,87743,1.5    ,368812,663046,1.8    ,77375,115886,1.5    ,54490,94392,1.7    ,121613,250020,2.1    ,35797,60965,1.7    ,205173,385569,1.9    ,111786,182367,1.6    ,282888,579636,2.0    ,120226,249476,2.1    ,615788,1352150,2.2    ,55069,91789,1.7    ,860844,2057619,2.4    ,520315,990182,1.9    ,56415,139919,2.5    ,788087,1242799,1.6    
Ukraine,25305,72607,2.9    ,256,827,3.2    ,56,253,4.5    ,0,0,0,64,187,2.9    ,650,1578,2.4    ,1918,4828,2.5    ,158,415,2.6    ,6929,16371,2.4    ,24,47,2.0    ,1194,6406,5.4    ,13,13,1.0    ,658,1543,2.3    ,110,336,3.1    ,34,70,2.1    ,55,115,2.1    ,155,215,1.4    ,561,1715,3.1    ,81,274,3.4    ,618,2201,3.6    ,118,450,3.8    ,1379,4279,3.1    ,103,1052,10.2    ,1082,5327,4.9    ,2266,6918,3.1    ,236,559,2.4    ,6587,16628,2.5    